highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
TCP,TCP,88.191.250.2,192.168.1.35,80,19555,16384,0,16,2019-01-19 15:41:22.419634,1547892682419,Unknown,
DATA,TCP,88.191.250.2,192.168.1.35,80,19555,16384,4,24,2019-01-19 15:41:22.421138,1547892682421,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19555,80,16384,0,16,2019-01-19 15:41:22.462511,1547892682462,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19555,80,16384,0,17,2019-01-19 15:41:22.509581,1547892682509,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:22.571659,1547892682571,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:22.573200,1547892682573,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19556,48025,16384,0,2,2019-01-19 15:41:22.577943,1547892682577,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19556,16384,0,18,2019-01-19 15:41:22.579204,1547892682579,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19556,48025,16384,0,16,2019-01-19 15:41:22.579449,1547892682579,Unknown,
HTTP,TCP,192.168.1.35,192.168.1.1,19556,48025,16384,1,24,2019-01-19 15:41:22.579706,1547892682579,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19556,16384,0,16,2019-01-19 15:41:22.581050,1547892682581,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19556,16384,11,16,2019-01-19 15:41:22.582234,1547892682582,Unknown,
XML,TCP,192.168.1.1,192.168.1.35,48025,19556,16384,9,24,2019-01-19 15:41:22.582523,1547892682582,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19556,48025,16384,0,16,2019-01-19 15:41:22.582677,1547892682582,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19556,48025,16384,0,17,2019-01-19 15:41:22.582804,1547892682582,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19556,16384,0,17,2019-01-19 15:41:22.582826,1547892682582,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19556,48025,16384,0,16,2019-01-19 15:41:22.582922,1547892682582,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19556,16384,0,16,2019-01-19 15:41:22.584504,1547892682584,Unknown,
SSL,TCP,192.0.78.23,192.168.1.35,443,18784,16384,0,24,2019-01-19 15:41:22.868075,1547892682868,Unknown,
SSL,TCP,192.168.1.35,192.0.78.23,18784,443,16384,0,24,2019-01-19 15:41:22.868749,1547892682868,Unknown,
TCP,TCP,88.191.250.2,192.168.1.35,80,19555,16384,0,17,2019-01-19 15:41:23.052266,1547892683052,Unknown,
TCP,TCP,192.168.1.35,88.191.250.2,19555,80,16384,0,16,2019-01-19 15:41:23.052376,1547892683052,Unknown,
TCP,TCP,192.0.78.23,192.168.1.35,443,18784,16384,0,16,2019-01-19 15:41:23.078172,1547892683078,Unknown,
ICMPV6,NONE,fe80::e8c6:ffec:88f9:7080,fe80::1,-1,-1,-1,0,-1,2019-01-19 15:41:24.622455,1547892684622,Unknown,
ICMPV6,NONE,fe80::1,fe80::e8c6:ffec:88f9:7080,-1,-1,-1,0,-1,2019-01-19 15:41:24.623580,1547892684623,Unknown,
SSL,TCP,192.168.1.35,52.230.83.250,18776,443,16384,0,24,2019-01-19 15:41:24.730204,1547892684730,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19557,443,16384,0,2,2019-01-19 15:41:24.794855,1547892684794,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19558,443,16384,0,2,2019-01-19 15:41:24.794893,1547892684794,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19559,443,16384,0,2,2019-01-19 15:41:24.794893,1547892684794,Unknown,
SSL,TCP,52.230.83.250,192.168.1.35,443,18776,16384,1,24,2019-01-19 15:41:24.998233,1547892684998,Unknown,
TCP,TCP,192.168.1.35,52.230.83.250,18776,443,16384,0,16,2019-01-19 15:41:25.038640,1547892685038,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19559,16384,0,18,2019-01-19 15:41:25.071823,1547892685071,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19559,443,16384,0,16,2019-01-19 15:41:25.072045,1547892685072,Unknown,
SSL,TCP,192.168.1.35,23.62.135.68,19559,443,16384,1,24,2019-01-19 15:41:25.072978,1547892685072,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19558,16384,0,18,2019-01-19 15:41:25.075362,1547892685075,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19558,443,16384,0,16,2019-01-19 15:41:25.075585,1547892685075,Unknown,
SSL,TCP,192.168.1.35,23.62.135.68,19558,443,16384,1,24,2019-01-19 15:41:25.076388,1547892685076,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19557,16384,0,18,2019-01-19 15:41:25.078708,1547892685078,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19557,443,16384,0,16,2019-01-19 15:41:25.078921,1547892685078,Unknown,
SSL,TCP,192.168.1.35,23.62.135.68,19557,443,16384,1,24,2019-01-19 15:41:25.079753,1547892685079,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19559,16384,0,16,2019-01-19 15:41:25.349674,1547892685349,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19559,16384,11,16,2019-01-19 15:41:25.353706,1547892685353,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19559,16384,11,16,2019-01-19 15:41:25.356895,1547892685356,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19559,443,16384,0,16,2019-01-19 15:41:25.357042,1547892685357,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19559,16384,11,16,2019-01-19 15:41:25.360001,1547892685360,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19559,16384,0,24,2019-01-19 15:41:25.360226,1547892685360,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19559,443,16384,0,16,2019-01-19 15:41:25.360348,1547892685360,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19558,16384,0,16,2019-01-19 15:41:25.361647,1547892685361,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19558,16384,11,16,2019-01-19 15:41:25.365279,1547892685365,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19558,16384,11,16,2019-01-19 15:41:25.368422,1547892685368,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19558,443,16384,0,16,2019-01-19 15:41:25.368572,1547892685368,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19558,16384,11,16,2019-01-19 15:41:25.371734,1547892685371,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19558,16384,0,24,2019-01-19 15:41:25.371954,1547892685371,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19558,443,16384,0,16,2019-01-19 15:41:25.372075,1547892685372,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19557,16384,0,16,2019-01-19 15:41:25.374729,1547892685374,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19557,16384,11,16,2019-01-19 15:41:25.376001,1547892685376,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19557,16384,11,16,2019-01-19 15:41:25.379201,1547892685379,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19557,443,16384,0,16,2019-01-19 15:41:25.379360,1547892685379,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19557,16384,11,16,2019-01-19 15:41:25.382488,1547892685382,Unknown,
TCP,TCP,23.62.135.68,192.168.1.35,443,19557,16384,0,24,2019-01-19 15:41:25.382769,1547892685382,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19557,443,16384,0,16,2019-01-19 15:41:25.382914,1547892685382,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:41:25.571830,1547892685571,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:41:25.573434,1547892685573,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19559,16384,11,16,2019-01-19 15:41:25.634858,1547892685634,Unknown,
SSL,TCP,23.62.135.68,192.168.1.35,443,19559,16384,1,24,2019-01-19 15:41:25.635112,1547892685635,Unknown,
TCP,TCP,192.168.1.35,23.62.135.68,19559,443,16384,0,16,2019-01-19 15:41:25.635231,1547892685635,Unknown,
